"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"chorismic acid","SmallMoleculeReference",NA,"CAS:55508-12-8;ChEBI:CHEBI:29748;ChemSpider:4573889;EcoCyc:CHORISMATE;HMDB:HMDB12199;IAF1260:chor;KEGG LIGAND:C00251;PubChem-compound:5460312;RefMet:Chorismic acid",NA
"C1-(3-Indolyl)-glycerol 3-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58866;EcoCyc:INDOLE-3-GLYCEROL-P;IAF1260:3ig3p;KEGG LIGAND:C03506;PubChem-compound:46878464",NA
"indole","SmallMoleculeReference",NA,"CAS:120-72-9;ChEBI:CHEBI:16881;ChemSpider:776;DrugBank:DB04532;EcoCyc:INDOLE;HMDB:HMDB00738;IAF1260:indole;KEGG LIGAND:C00463;PubChem-compound:798;RefMet:Indole",NA
"P00909","ProteinReference","TrpC","EcoCyc:PRAI-IGPS;EcoliWiki:b1262;MODBASE:P00909;NCBI Reference Sequences Database:NP_415778;Pride:P00909;Protein Model Portal:P00909;Protein Ontology:PRO_000024119;SWISS-MODEL:P00909;UniProt:P00909","InterPro:IPR001240;InterPro:IPR001468;InterPro:IPR011060;InterPro:IPR013785;InterPro:IPR013798;Pfam:PF00218;Pfam:PF00697;Prosite:PS00614;Protein Data Bank:1JCM;Protein Data Bank:1PII;Protein Data Bank:2KZH"
"reduced-1-[(2-carboxyphenyl)amino]-1-deoxyribulose 5-phosphate,","SmallMoleculeReference",NA,"EcoCyc:CPD0-1486;PubChem-compound:25245968",NA
"5-fluoroanthranilic acid","SmallMoleculeReference",NA,"ChemSpider:5307512;EcoCyc:CPD0-1487;PubChem-compound:6933449",NA
"P0A877","ProteinReference","TrpA","Database of Interacting Proteins:DIP-35957N;Database of Protein Disorder:DP00252;EcoCyc:TRYPSYN-APROTEIN;EcoliWiki:b1260;MODBASE:P0A877;NCBI Reference Sequences Database:NP_415776;Pride:P0A877;Protein Model Portal:P0A877;Protein Ontology:PRO_000024117;SWISS-MODEL:P0A877;UniProt:P0A877","InterPro:IPR002028;InterPro:IPR011060;InterPro:IPR013785;InterPro:IPR018204;Pfam:PF00290;Prosite:PS00167;Protein Data Bank:1V7Y;Protein Data Bank:1WQ5;Protein Data Bank:1XC4;Protein Data Bank:1XCF"
"5'-P-ribosyl-anthranilate","SmallMoleculeReference",NA,"ChEBI:CHEBI:18277;EcoCyc:N-5-PHOSPHORIBOSYL-ANTHRANILATE;IAF1260:pran;KEGG LIGAND:C04302;PubChem-compound:9548600",NA
