"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"4-deoxy-D-glucarate","SmallMoleculeReference",NA,"ChemSpider:4450365;EcoCyc:CPD0-1612;PubChem-compound:5288136",NA
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"D-saccharate","SmallMoleculeReference",NA,"CAS:87-73-0;ChEBI:CHEBI:30612;ChemSpider:4450583;EcoCyc:D-GLUCARATE;HMDB:HMDB29881;IAF1260:glcr;KEGG LIGAND:C00818;MetaboLights:MTBLC30612;PubChem-compound:5288393;RefMet:Glucaric acid",NA
"P0ABQ2","ProteinReference","GarR","Database of Interacting Proteins:DIP-9742N;EcoCyc:TSA-REDUCT-MONOMER;EcoliWiki:b3125;MODBASE:P0ABQ2;NCBI Reference Sequences Database:NP_417594;Pride:P0ABQ2;Protein Model Portal:P0ABQ2;SWISS-MODEL:P0ABQ2;Swiss-Model:P0ABQ2;UniProt:P0ABQ2","InterPro:IPR002204;InterPro:IPR006115;InterPro:IPR006398;InterPro:IPR008927;InterPro:IPR013328;InterPro:IPR015815;InterPro:IPR016040;InterPro:IPR029154;Panther:PTHR22981;Pfam:PF03446;Pfam:PF14833;Prosite:PS00895"
"xylarohydroxamate","SmallMoleculeReference",NA,"ChemSpider:4451527;EcoCyc:CPD0-1613;PubChem-compound:5289593",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"P0AES2","ProteinReference","GudD","EcoCyc:GLUCARDEHYDRA-MONOMER;EcoliWiki:b2787;MODBASE:P0AES2;NCBI Reference Sequences Database:NP_417267;Pride:P0AES2;Protein Model Portal:P0AES2;Protein Ontology:PRO_000022853;SWISS-MODEL:P0AES2;Swiss-Model:P0AES2;UniProt:P0AES2","InterPro:IPR013342;InterPro:IPR017653;InterPro:IPR029017;InterPro:IPR029065;InterPro:IPR034390;InterPro:IPR034598;Panther:PTHR13794;Pfam:PF13378;Protein Data Bank:1EC7;Protein Data Bank:1EC8;Protein Data Bank:1EC9;Protein Data Bank:1ECQ;Protein Data Bank:1JCT;Protein Data Bank:1JDF;Protein Data Bank:3PWG;Protein Data Bank:3PWI;Protein Data Bank:4GYP;Smart:SM00922"
"F","SmallMoleculeReference",NA,"ChEBI:CHEBI:17051;ChemSpider:26214;EcoCyc:F-;HMDB:HMDB00662;KEGG LIGAND:C00742;PubChem-compound:28179",NA
"ketodeoxyheptonate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1506;PubChem-compound:54758593",NA
