"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","SmallMoleculeReference",NA,"CAS:591-57-1;ChEBI:CHEBI:59776;EcoCyc:GAP;HMDB:HMDB01112;IAF1260:g3p;KEGG LIGAND:C00118;PubChem-compound:24794350;RefMet:Glyceraldehyde-3-phosphate",NA
"D-tagatofuranose 1,6-diphosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58694;EcoCyc:TAGATOSE-1-6-DIPHOSPHATE;HMDB:HMDB06872;IAF1260:tagdp__D;KEGG LIGAND:C03785;MetaboLights:MTBLC58694;PubChem-compound:15043189",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"P06999","ProteinReference","PfkB","Database of Interacting Proteins:DIP-10465N;EcoCyc:6PFK-2-MONOMER;EcoliWiki:b1723;MODBASE:P06999;Mint:MINT-8178151;NCBI Reference Sequences Database:NP_416237;Pride:P06999;Protein Model Portal:P06999;Protein Ontology:PRO_000023515;SWISS-MODEL:P06999;UniProt:P06999","InterPro:IPR002173;InterPro:IPR011611;InterPro:IPR017583;InterPro:IPR029056;Pfam:PF00294;Prosite:PS00583;Prosite:PS00584;Protein Data Bank:3CQD;Protein Data Bank:3N1C;Protein Data Bank:3UMO;Protein Data Bank:3UMP;Protein Data Bank:3UQD;Protein Data Bank:3UQE"
"P0C8J8","ProteinReference","GatZ","Database of Interacting Proteins:DIP-48243N;EcoCyc:G7128-MONOMER;EcoliWiki:b2095;NCBI Reference Sequences Database:NP_416598;Pride:P0C8J8;Protein Model Portal:P0C8J8;SWISS-MODEL:P0C8J8;Swiss-Model:P37191;UniProt:P0C8J8","InterPro:IPR012062;InterPro:IPR013785;InterPro:IPR023436;Pfam:PF08013"
"D-tagatofuranose 6-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58695;EcoCyc:TAGATOSE-6-PHOSPHATE;HMDB:HMDB06873;IAF1260:tag6p__D;KEGG LIGAND:C01097;MetaboLights:MTBLC58695;PubChem-compound:25245410",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"P0C8J6","ProteinReference","GatY","Database of Interacting Proteins:DIP-48239N;EcoCyc:TAGAALDOL2-MONOMER;EcoliWiki:b2096;MODBASE:P37192;Mint:MINT-1266244;NCBI Reference Sequences Database:NP_416599;Pride:P0C8J6;Protein Model Portal:P0C8J6;SWISS-MODEL:P0C8J6;Swiss-Model:P37192;UniProt:P0C8J6","InterPro:IPR000771;InterPro:IPR011288;InterPro:IPR013785;InterPro:IPR023955;Pfam:PF01116;Prosite:PS00602;Prosite:PS00806"
"keto-D-tagatose 6-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:134283;EcoCyc:CPD-15826;PubChem-compound:23615358",NA
