"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"N-benzylguanidine","SmallMoleculeReference",NA,"ChemSpider:1267059;EcoCyc:CPD0-1431;PubChem-compound:1550473",NA
"3-phenylpropionic acid","SmallMoleculeReference",NA,"ChEBI:CHEBI:51057;ChemSpider:3927902;EcoCyc:3-PHENYLPROPIONATE;HMDB:HMDB00764;IAF1260:pppn;KEGG LIGAND:C05629;PubChem-compound:4740700;RefMet:Hydrocinnamic acid",NA
"cyclopentanecarboxylic acid","SmallMoleculeReference",NA,"EcoCyc:CPD0-1348;PubChem-compound:46926331",NA
"tryptophanhydroxamate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1480;PubChem-compound:25245268",NA
"N-benzylbenzamidine","SmallMoleculeReference",NA,"EcoCyc:CPD0-1432;PubChem-compound:25201383",NA
"lys","SmallMoleculeReference","lys","CAS:56-87-1;ChEBI:CHEBI:32551;ChemSpider:5747;EcoCyc:LYS;HMDB:HMDB00182;IAF1260:33655;IAF1260:lys__L;KEGG LIGAND:C00047;MetaboLights:MTBLC32551;PubChem-compound:5460926;RefMet:Lysine",NA
"mupirocin","SmallMoleculeReference",NA,"EcoCyc:CPD0-2581;PubChem-compound:122706205",NA
"serine methyl ester","SmallMoleculeReference",NA,"ChemSpider:369103;EcoCyc:CPD0-1379;PubChem-compound:416960",NA
"P16659","ProteinReference","ProS","Database of Interacting Proteins:DIP-10573N;EcoCyc:PROS-MONOMER;EcoliWiki:b0194;MODBASE:P16659;Mint:MINT-1261583;NCBI Reference Sequences Database:NP_414736;Pride:P16659;Protein Model Portal:P16659;Protein Ontology:PRO_000023601;SWISS-MODEL:P16659;UniProt:P16659","InterPro:IPR002314;InterPro:IPR002316;InterPro:IPR004154;InterPro:IPR004500;InterPro:IPR006195;InterPro:IPR007214;InterPro:IPR023717;InterPro:IPR033730;Panther:PTHR11451:SF3;Pfam:PF00587;Pfam:PF03129;Pfam:PF04073;Prints:PR01046;Prosite:PS50862"
"tyr","SmallMoleculeReference","tyr","CAS:60-18-4;ChEBI:CHEBI:58315;EcoCyc:TYR;HMDB:HMDB00158;IAF1260:tyr__L;KEGG LIGAND:C00082;MetaboLights:MTBLC58315;PubChem-compound:6942100;RefMet:Tyrosine",NA
"P21889","ProteinReference","AspS","Database of Interacting Proteins:DIP-9182N;EcoCyc:ASPS-MONOMER;EcoliWiki:b1866;MODBASE:P21889;Mint:MINT-1249167;NCBI Reference Sequences Database:NP_416380;Pride:P21889;Protein Model Portal:P21889;Protein Ontology:PRO_000022173;SWISS-MODEL:P21889;UniProt:P21889","InterPro:IPR002312;InterPro:IPR004115;InterPro:IPR004364;InterPro:IPR004365;InterPro:IPR004524;InterPro:IPR006195;InterPro:IPR012340;InterPro:IPR029351;Panther:PTHR22594;Panther:PTHR22594:SF40;Pfam:PF00152;Pfam:PF01336;Pfam:PF02938;Prints:PR01042;Prosite:PS50862;Protein Data Bank:1C0A;Protein Data Bank:1EQR;Protein Data Bank:1IL2"
"L-histidinol","SmallMoleculeReference",NA,"CAS:501-28-0;ChEBI:CHEBI:57699;EcoCyc:HISTIDINOL;HMDB:HMDB03431;IAF1260:histd;KEGG LIGAND:C00860;KNApSAcK:C00007479;PubChem-compound:6950298;RefMet:L-Histidinol",NA
"P21888","ProteinReference","CysS","Database of Interacting Proteins:DIP-9386N;EcoCyc:CYSS-MONOMER;EcoliWiki:b0526;MODBASE:P21888;Mint:MINT-1240309;NCBI Reference Sequences Database:NP_415059;Pride:P21888;Protein Model Portal:P21888;Protein Ontology:PRO_000022387;SWISS-MODEL:P21888;UniProt:P21888","InterPro:IPR009080;InterPro:IPR014729;InterPro:IPR015273;InterPro:IPR015803;InterPro:IPR024909;InterPro:IPR032678;Panther:PTHR10890;Pfam:PF01406;Pfam:PF09190;Prints:PR00983;Prosite:PS00178;Protein Data Bank:1LI5;Protein Data Bank:1LI7;Protein Data Bank:1U0B;Smart:SM00840"
"his","SmallMoleculeReference","his","CAS:71-00-1;ChEBI:CHEBI:57595;EcoCyc:HIS;HMDB:HMDB00177;IAF1260:his__L;KEGG LIGAND:C00135;MetaboLights:MTBLC57595;PubChem-compound:6971009;RefMet:Histidine",NA
"ala","SmallMoleculeReference","ala","CAS:56-41-7;ChEBI:CHEBI:57972;EcoCyc:L-ALPHA-ALANINE;HMDB:HMDB00161;IAF1260:ala__L;KEGG LIGAND:C00041;MetaboLights:MTBLC57972;PubChem-compound:7311724;RefMet:Alanine",NA
"P0A8N5","ProteinReference","LysU","Database of Interacting Proteins:DIP-36212N;EcoCyc:LYSU-MONOMER;EcoliWiki:b4129;Mint:MINT-1219496;NCBI Reference Sequences Database:NP_418553;Pride:P0A8N5;Protein Model Portal:P0A8N5;Protein Ontology:PRO_000023141;SWISS-MODEL:P0A8N5;UniProt:P0A8N5","InterPro:IPR002313;InterPro:IPR004364;InterPro:IPR004365;InterPro:IPR006195;InterPro:IPR012340;InterPro:IPR018149;InterPro:IPR034762;Panther:PTHR22594;Pfam:PF00152;Pfam:PF01336;Prints:PR00982;Prosite:PS50862;Protein Data Bank:1E1O;Protein Data Bank:1E1T;Protein Data Bank:1E22;Protein Data Bank:1E24;Protein Data Bank:1LYL"
"P07395","ProteinReference","PheT","Database of Interacting Proteins:DIP-6879N;EcoCyc:PHET-MONOMER;EcoliWiki:b1713;MODBASE:P07395;Mint:MINT-1231494;NCBI Reference Sequences Database:NP_416228;Pride:P07395;Protein Model Portal:P07395;SWISS-MODEL:P07395;UniProt:P07395","InterPro:IPR002547;InterPro:IPR004532;InterPro:IPR005121;InterPro:IPR005146;InterPro:IPR005147;InterPro:IPR009061;InterPro:IPR012340;InterPro:IPR020825;InterPro:IPR033714;Pfam:PF01588;Pfam:PF03147;Pfam:PF03483;Pfam:PF03484;Prosite:PS50886;Prosite:PS51447;Prosite:PS51483;Protein Data Bank:3PCO;Smart:SM00873;Smart:SM00874;Smart:SM00896"
"P0A8N3","ProteinReference","LysS","Database of Interacting Proteins:DIP-36211N;EcoCyc:LYSS-MONOMER;EcoliWiki:b2890;Mint:MINT-1227180;NCBI Reference Sequences Database:NP_417366;Pride:P0A8N3;Protein Model Portal:P0A8N3;SWISS-MODEL:P0A8N3;UniProt:P0A8N3","InterPro:IPR002313;InterPro:IPR004364;InterPro:IPR004365;InterPro:IPR006195;InterPro:IPR012340;InterPro:IPR018149;InterPro:IPR034762;Panther:PTHR22594;Pfam:PF00152;Pfam:PF01336;Prints:PR00982;Prosite:PS50862;Protein Data Bank:1BBU;Protein Data Bank:1BBW;Protein Data Bank:1KRS;Protein Data Bank:1KRT"
"leu","SmallMoleculeReference","leu","CAS:61-90-5;ChEBI:CHEBI:57427;EcoCyc:LEU;HMDB:HMDB00687;IAF1260:leu__L;KEGG LIGAND:C00123;MetaboLights:MTBLC57427;NCI Open DB:46709;PubChem-compound:7045798;RefMet:Leucine",NA
"P07118","ProteinReference","ValS","Database of Interacting Proteins:DIP-11112N;EcoCyc:VALS-MONOMER;EcoliWiki:b4258;MODBASE:P07118;Mint:MINT-1260839;NCBI Reference Sequences Database:NP_418679;Pride:P07118;Protein Model Portal:P07118;SWISS-MODEL:P07118;UniProt:P07118","InterPro:IPR001412;InterPro:IPR002300;InterPro:IPR002303;InterPro:IPR009008;InterPro:IPR009080;InterPro:IPR010978;InterPro:IPR013155;InterPro:IPR014729;InterPro:IPR019499;InterPro:IPR033705;Panther:PTHR11946:SF5;Pfam:PF00133;Pfam:PF08264;Pfam:PF10458;Prints:PR00986;Prosite:PS00178"
"val","SmallMoleculeReference","val","CAS:72-18-4;ChEBI:CHEBI:57762;EcoCyc:VAL;HMDB:HMDB00883;IAF1260:val__L;KEGG LIGAND:C00183;MetaboLights:MTBLC57762;PubChem-compound:6971018;RefMet:Valine",NA
"2-phenylethanamidine","SmallMoleculeReference",NA,"ChemSpider:10294690;EcoCyc:CPD0-1430;PubChem-compound:6339940",NA
"2-amino-4-(guanidinooxy)butyric acid","SmallMoleculeReference",NA,"CAS:543-38-4;ChEBI:CHEBI:78902;EcoCyc:CANAVANINE;HMDB:HMDB02706;KEGG LIGAND:C00308;PubChem-compound:36688185",NA
"ile","SmallMoleculeReference","ile","CAS:73-32-5;ChEBI:CHEBI:58045;EcoCyc:ILE;HMDB:HMDB00172;IAF1260:ile__L;KEGG LIGAND:C00407;MetaboLights:MTBLC58045;PubChem-compound:7043901;RefMet:Isoleucine",NA
"2'-deoxyadenosine triphosphate","SmallMoleculeReference",NA,"CAS:1927-31-7;ChEBI:CHEBI:61404;EcoCyc:DATP;HMDB:HMDB01532;IAF1260:datp;KEGG LIGAND:C00131;MetaboLights:MTBLC61404;PubChem-compound:25320183;RefMet:dATP",NA
"phenylalaninol","SmallMoleculeReference",NA,"EcoCyc:CPD0-1428;PubChem-compound:25201771",NA
"P60906","ProteinReference","HisS","Database of Interacting Proteins:DIP-35894N;EcoCyc:HISS-MONOMER;EcoliWiki:b2514;MODBASE:P60906;Mint:MINT-1236095;NCBI Reference Sequences Database:NP_417009;Pride:P60906;Protein Model Portal:P60906;Protein Ontology:PRO_000022903;SWISS-MODEL:P60906;UniProt:P60906","InterPro:IPR004154;InterPro:IPR004516;InterPro:IPR006195;InterPro:IPR015807;InterPro:IPR033656;Panther:PTHR43707;Pfam:PF03129;Prosite:PS50862;Protein Data Bank:1HTT;Protein Data Bank:1KMM;Protein Data Bank:1KMN;Protein Data Bank:2EL9"
"phenyl-thiazolylurea-sulfonamides","SmallMoleculeReference",NA,"EcoCyc:CPD0-1433;PubChem-compound:25244894",NA
"gln","SmallMoleculeReference","gln","CAS:56-85-9;ChEBI:CHEBI:58359;EcoCyc:GLN;HMDB:HMDB00641;IAF1260:gln__L;KEGG LIGAND:C00064;MetaboLights:MTBLC58359;PubChem-compound:6992086;RefMet:Glutamine",NA
