"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"dihydroxyacetone","SmallMoleculeReference",NA,"CAS:96-26-4;ChEBI:CHEBI:16016;ChemSpider:650;DrugBank:DB01775;EcoCyc:DIHYDROXYACETONE;HMDB:HMDB01882;IAF1260:dha;KEGG LIGAND:C00184;MetaboLights:MTBLC16016;NCI Open DB:24343;PubChem-compound:670;RefMet:Dihydroxyacetone",NA
"P76014","ProteinReference","DhaL","Database of Interacting Proteins:DIP-11562N;EcoCyc:MONOMER0-1261;EcoliWiki:b1199;MODBASE:P76014;NCBI Reference Sequences Database:NP_415717;Pride:P76014;Protein Model Portal:P76014;Protein Ontology:PRO_000022439;SWISS-MODEL:P76014;UniProt:P76014","InterPro:IPR004007;InterPro:IPR012737;Pfam:PF02734;Prosite:PS51480;Protein Data Bank:2BTD;Protein Data Bank:3PNL;Protein Data Bank:4LRZ;Smart:SM01120"
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"o-phenanthroline","SmallMoleculeReference",NA,"ChEBI:CHEBI:44975;ChemSpider:1278;DrugBank:DB02365;EcoCyc:O-PHENANTHROLINE;KEGG LIGAND:C00604;PubChem-compound:1318",NA
"maleic acid N-ethylimide","SmallMoleculeReference",NA,"ChEBI:CHEBI:44485;ChemSpider:4209;DrugBank:DB02967;EcoCyc:N-ETHYLMALEIMIDE;KEGG LIGAND:C02441;PubChem-compound:4362;RefMet:N-ethylmaleimide",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"P76015","ProteinReference","DhaK","Database of Interacting Proteins:DIP-11563N;EcoCyc:G6627-MONOMER;EcoliWiki:b1200;MODBASE:P76015;NCBI Reference Sequences Database:NP_415718;Pride:P76015;Protein Model Portal:P76015;Protein Ontology:PRO_000022438;SWISS-MODEL:P76015;UniProt:P76015","InterPro:IPR004006;InterPro:IPR012736;Pfam:PF02733;Prosite:PS51481;Protein Data Bank:1OI2;Protein Data Bank:1OI3;Protein Data Bank:1UOD;Protein Data Bank:1UOE;Protein Data Bank:3PNK;Protein Data Bank:3PNL;Protein Data Bank:3PNM;Protein Data Bank:3PNO;Protein Data Bank:3PNQ;Protein Data Bank:4LRX;Protein Data Bank:4LRY"
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"potassium","SmallMoleculeReference",NA,"ChEBI:CHEBI:29103;ChemSpider:791;EcoCyc:K+;HMDB:HMDB00586;IAF1260:k;KEGG LIGAND:C00238;MetaboLights:MTBLC29103;PubChem-compound:813",NA
"8-hydroxyquinoline","SmallMoleculeReference",NA,"ChEBI:CHEBI:48981;ChemSpider:1847;EcoCyc:8-HYDROXYQUINOLINE;KEGG LIGAND:C19434;PubChem-compound:1923;RefMet:Quinolin-8-ol",NA
"rubidium ion","SmallMoleculeReference",NA,"ChEBI:CHEBI:49847;ChemSpider:94865;EcoCyc:RB+;HMDB:HMDB01327;KEGG LIGAND:C17061;PubChem-compound:105153",NA
