"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"butanedione","SmallMoleculeReference",NA,"CAS:431-03-8;ChEBI:CHEBI:16583;ChemSpider:630;EcoCyc:DIACETYL;HMDB:HMDB03407;KEGG LIGAND:C00741;PubChem-compound:650;RefMet:Diacetyl",NA
"Ni++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49786;ChemSpider:909;EcoCyc:NI+2;HMDB:HMDB02457;IAF1260:ni2;KEGG LIGAND:C19609;PubChem-compound:934",NA
"a hydroxlyated aryl lignin fragment","SmallMoleculeReference",NA,"CAS:90-05-1;ChEBI:CHEBI:28591;ChemSpider:447;EcoCyc:CPD-400;HMDB:HMDB01398;KEGG LIGAND:C01502;MetaboLights:MTBLC28591;PubChem-compound:460",NA
"(S)-2-aceto-2-hydroxy-butyrate","SmallMoleculeReference",NA,"CAS:3142-65-2;ChEBI:CHEBI:49256;ChemSpider:10607847;EcoCyc:2-ACETO-2-HYDROXY-BUTYRATE;HMDB:HMDB06900;IAF1260:2ahbut;KEGG LIGAND:C06006;PubChem-compound:21145135;RefMet:Acetohydroxybutyric acid",NA
"P0A6A3","ProteinReference","AckA","Database of Interacting Proteins:DIP-9042N;EcoCyc:ACETATEKINA-MONOMER;EcoliWiki:b2296;MODBASE:P0A6A3;NCBI Reference Sequences Database:NP_416799;Pride:P0A6A3;Protein Model Portal:P0A6A3;Protein Ontology:PRO_000022041;SWISS-MODEL:P0A6A3;UniProt:P0A6A3","InterPro:IPR000890;InterPro:IPR004372;InterPro:IPR023865;Panther:PTHR21060;Pfam:PF00871;Prints:PR00471;Prosite:PS01075;Prosite:PS01076;Protein Data Bank:1LRG"
"(R)-2,3-dihydroxy-3-methylvalerate","SmallMoleculeReference",NA,"ChEBI:CHEBI:49258;ChemSpider:13641636;EcoCyc:1-KETO-2-METHYLVALERATE;HMDB:HMDB12140;IAF1260:23dhmp;KEGG LIGAND:C06007;PubChem-compound:21145376",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"p-mercuribenzoate","SmallMoleculeReference",NA,"ChEBI:CHEBI:20435;ChemSpider:4574164;EcoCyc:CPD-7388;KEGG LIGAND:C00985;PubChem-compound:5460680",NA
"P09373","ProteinReference","PflB","Database of Interacting Proteins:DIP-10467N;EcoCyc:PYRUVFORMLY-MONOMER;EcoliWiki:b0903;MODBASE:P09373;Mint:MINT-1283506;NCBI Reference Sequences Database:NP_415423;Pride:P09373;Protein Model Portal:P09373;Protein Ontology:PRO_000023517;SWISS-MODEL:P09373;UniProt:P09373","InterPro:IPR001150;InterPro:IPR004184;InterPro:IPR005949;InterPro:IPR019777;Pfam:PF01228;Pfam:PF02901;Prosite:PS00850;Prosite:PS51149;Prosite:PS51554;Protein Data Bank:1CM5;Protein Data Bank:1H16;Protein Data Bank:1H17;Protein Data Bank:1H18;Protein Data Bank:1MZO;Protein Data Bank:1QHM;Protein Data Bank:2PFL;Protein Data Bank:3PFL"
"P77580","ProteinReference","MhpF","Database of Interacting Proteins:DIP-10210N;EcoCyc:MHPF-MONOMER;EcoliWiki:b0351;MODBASE:P77580;NCBI Reference Sequences Database:NP_414885;Pride:P77580;Protein Model Portal:P77580;Protein Ontology:PRO_000023233;SWISS-MODEL:P77580;Swiss-Model:P77580;UniProt:P77580","InterPro:IPR000534;InterPro:IPR003361;InterPro:IPR015426;InterPro:IPR016040;Panther:PTHR21123;Pfam:PF01118;Pfam:PF09290;Smart:SM00859"
