"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"P0A6E6","ProteinReference","AtpC","Database of Interacting Proteins:DIP-47828N;EcoCyc:ATPC-MONOMER;EcoliWiki:b3731;NCBI Reference Sequences Database:NP_418187;Pride:P0A6E6;Protein Model Portal:P0A6E6;Protein Ontology:PRO_000022188;SWISS-MODEL:P0A6E6;UniProt:P0A6E6","InterPro:IPR001469;InterPro:IPR020546;InterPro:IPR020547;Panther:PTHR13822;Pfam:PF00401;Pfam:PF02823;ProDom; a protein domain database:PD000944;Protein Data Bank:1AQT;Protein Data Bank:1BSH;Protein Data Bank:1BSN;Protein Data Bank:1FS0;Protein Data Bank:1QO1;Protein Data Bank:3OAA;Protein Data Bank:5T4O;Protein Data Bank:5T4P;Protein Data Bank:5T4Q"
"4-chloro-7-nitro-2,1,3-benzoxadiazole","SmallMoleculeReference",NA,"ChEBI:CHEBI:78878;ChemSpider:23406;EcoCyc:CPD0-1250;PubChem-compound:25043",NA
"Tetrafluoroaluminate anion","SmallMoleculeReference",NA,"CAS:21340-02-3;ChEBI:CHEBI:30111;ChemSpider:10722628;DrugBank:DB04444;EcoCyc:CPD0-1624;PubChem-compound:5311325",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"3,5,7,3',4'-pentahydroxyflavone","SmallMoleculeReference",NA,"CAS:117-39-5;ChEBI:CHEBI:57694;EcoCyc:CPD-520;HMDB:HMDB05794;KEGG LIGAND:C00389;NCI Open DB:9219;PubChem-compound:46906036;RefMet:Quercetin;Wikipedia:Quercetin",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"P0AB98","ProteinReference","AtpB","Database of Interacting Proteins:DIP-47956N;EcoCyc:ATPB-MONOMER;EcoliWiki:b3738;MODBASE:P0AB98;Mint:MINT-1300501;NCBI Reference Sequences Database:NP_418194;Pride:P0AB98;Protein Model Portal:P0AB98;Protein Ontology:PRO_000022187;SWISS-MODEL:P0AB98;UniProt:P0AB98","InterPro:IPR000568;InterPro:IPR023011;Panther:PTHR11410;Pfam:PF00119;Prints:PR00123;Prosite:PS00449;Protein Data Bank:1C17;Protein Data Bank:5T4O;Protein Data Bank:5T4P;Protein Data Bank:5T4Q"
"P0ABB0","ProteinReference","AtpA","Database of Interacting Proteins:DIP-31845N;EcoCyc:ATPA-MONOMER;EcoliWiki:b3734;MODBASE:P0ABB0;Mint:MINT-1251537;NCBI Reference Sequences Database:NP_418190;Pride:P0ABB0;Protein Model Portal:P0ABB0;Protein Ontology:PRO_000022186;SWISS-MODEL:P0ABB0;Swiss-Model:P0ABB0;UniProt:P0ABB0","InterPro:IPR000194;InterPro:IPR000793;InterPro:IPR004100;InterPro:IPR005294;InterPro:IPR020003;InterPro:IPR023366;InterPro:IPR027417;InterPro:IPR033732;Panther:PTHR15184:SF3;Pfam:PF00006;Pfam:PF00306;Pfam:PF02874;Prosite:PS00152;Protein Data Bank:1D8S;Protein Data Bank:3OAA;Protein Data Bank:5T4O;Protein Data Bank:5T4P;Protein Data Bank:5T4Q"
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"efrapeptin","SmallMoleculeReference",NA,"EcoCyc:CPD0-1620",NA
