"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"NADPH","SmallMoleculeReference",NA,"CAS:2646-71-1;ChEBI:CHEBI:57783;ChemSpider:10239199;EcoCyc:NADPH;HMDB:HMDB00221;IAF1260:nadph;KEGG LIGAND:C00005;MetaboLights:MTBLC57783;PubChem-compound:15983949;RefMet:NADPH",NA
"P30863","ProteinReference","DkgB","EcoCyc:MONOMER0-149;EcoliWiki:b0207;MODBASE:P30863;NCBI Reference Sequences Database:NP_414743;Pride:P30863;Protein Model Portal:P30863;Protein Ontology:PRO_000022452;SWISS-MODEL:P30863;UniProt:P30863","InterPro:IPR018170;InterPro:IPR020471;InterPro:IPR023210;Panther:PTHR11732;Pfam:PF00248;Prints:PR00069;Prosite:PS00062;Prosite:PS00798"
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"a sulfhydryl group","SmallMoleculeReference",NA,"ChEBI:CHEBI:29917;EcoCyc:Sulfhydryl-Groups",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"Q46856","ProteinReference","YqhD","Database of Interacting Proteins:DIP-12870N;EcoCyc:G7564-MONOMER;EcoliWiki:b3011;MODBASE:Q46856;NCBI Reference Sequences Database:NP_417484;Pride:Q46856;Protein Model Portal:Q46856;SWISS-MODEL:Q46856;Swiss-Model:Q46856;UniProt:Q46856","InterPro:IPR001670;InterPro:IPR018211;Pfam:PF00465;Prosite:PS00060;Prosite:PS00913;Protein Data Bank:1OJ7;Protein Data Bank:4QGS"
"Q46857","ProteinReference","DkgA","EcoCyc:MONOMER0-148;EcoliWiki:b3012;MODBASE:Q46857;NCBI Reference Sequences Database:NP_417485;Pride:Q46857;Protein Model Portal:Q46857;Protein Ontology:PRO_000022451;SWISS-MODEL:Q46857;Swiss-Model:Q46857;UniProt:Q46857","InterPro:IPR018170;InterPro:IPR020471;InterPro:IPR023210;Panther:PTHR11732;Pfam:PF00248;Prints:PR00069;Prosite:PS00062;Prosite:PS00063;Prosite:PS00798;Protein Data Bank:1MZR"
"an electron-transfer quinone","SmallMoleculeReference",NA,"EcoCyc:ETR-Quinones",NA
"P33232","ProteinReference","LldD","Database of Interacting Proteins:DIP-10108N;EcoCyc:L-LACTDEHYDROGFMN-MONOMER;EcoliWiki:b3605;MODBASE:P33232;Mint:MINT-6478320;NCBI Reference Sequences Database:NP_418062;Pride:P33232;Protein Model Portal:P33232;Protein Ontology:PRO_000023100;SWISS-MODEL:P33232;UniProt:P33232","InterPro:IPR000262;InterPro:IPR008259;InterPro:IPR012133;InterPro:IPR013785;InterPro:IPR020920;Pfam:PF01070;Prosite:PS00557;Prosite:PS51349"
"P33018","ProteinReference","YeiG","Database of Interacting Proteins:DIP-11919N;EcoCyc:EG12026-MONOMER;EcoliWiki:b2154;MODBASE:P33018;NCBI Reference Sequences Database:NP_416659;Pride:P33018;Protein Model Portal:P33018;SWISS-MODEL:P33018;UniProt:P33018","InterPro:IPR000801;InterPro:IPR014186;InterPro:IPR029058;Panther:PTHR10061;Pfam:PF00756"
"Q46851","ProteinReference","Gpr","Database of Interacting Proteins:DIP-36026N;EcoCyc:G7558-MONOMER;EcoliWiki:b3001;MODBASE:Q46851;NCBI Reference Sequences Database:NP_417474;Pride:Q46851;Protein Model Portal:Q46851;SWISS-MODEL:Q46851;UniProt:Q46851","InterPro:IPR023210;Panther:PTHR11732;Pfam:PF00248;Protein Data Bank:3N6Q;Protein Data Bank:4AST;Protein Data Bank:4AUB"
"(S)-1,2-propanediol","SmallMoleculeReference",NA,"CAS:57-55-6;ChEBI:CHEBI:29002;ChemSpider:388890;DrugBank:DB04349;EcoCyc:PROPANE-1-2-DIOL;HMDB:HMDB06213;IAF1260:12ppd__S;KEGG LIGAND:C02917;MetaboLights:MTBLC29002;PubChem-compound:439846;RefMet:Propylene glycol",NA
"monoiodoacetate","SmallMoleculeReference",NA,"ChemSpider:452795;EcoCyc:IODOACETATE;PubChem-compound:519093",NA
"reduced glutathione","SmallMoleculeReference",NA,"CAS:70-18-8;ChEBI:CHEBI:57925;ChemSpider:19589806;EcoCyc:GLUTATHIONE;HMDB:HMDB00125;IAF1260:gthrd;KEGG LIGAND:C00051;KNApSAcK:C00001518;MetaboLights:MTBLC57925;PubChem-compound:7048684;RefMet:Glutathione",NA
"UQ","SmallMoleculeReference","UQ","ChEBI:CHEBI:16389;EcoCyc:Ubiquinones",NA
