"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"P0AA04","ProteinReference",NA,"Database of Interacting Proteins:DIP-35731N;EcoCyc:PTSH-MONOMER;EcoliWiki:b2415;MODBASE:P0AA04;Mint:MINT-8085981;NCBI Reference Sequences Database:NP_416910;Pride:P0AA04;Protein Model Portal:P0AA04;Protein Ontology:PRO_000023632;SWISS-MODEL:P0AA04;UniProt:P0AA04","InterPro:IPR000032;InterPro:IPR001020;InterPro:IPR002114;Pfam:PF00381;Prints:PR00107;Prosite:PS00369;Prosite:PS00589;Prosite:PS51350;Protein Data Bank:1CM2;Protein Data Bank:1CM3;Protein Data Bank:1GGR;Protein Data Bank:1HDN;Protein Data Bank:1J6T;Protein Data Bank:1OPD;Protein Data Bank:1PFH;Protein Data Bank:1POH;Protein Data Bank:1VRC;Protein Data Bank:2JEL;Protein Data Bank:2LRK;Protein Data Bank:2LRL;Protein Data Bank:2XDF;Protein Data Bank:3CCD;Protein Data Bank:3EZA;Protein Data Bank:3EZB;Protein Data Bank:3EZE;Protein Data Bank:4XWJ"
"NANA","SmallMoleculeReference",NA,"CAS:131-48-6;ChEBI:CHEBI:35418;EcoCyc:N-ACETYLNEURAMINATE;IAF1260:34458;IAF1260:acnam;KEGG LIGAND:C00270;PubChem-compound:6857396",NA
"5-acetamido-3,5-dideoxy-beta;-D-manno-non-2,4-diulosonic acid","SmallMoleculeReference",NA,"EcoCyc:CPD0-1144;PubChem-compound:25200527",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"P0A9Z1","ProteinReference",NA,"Database of Interacting Proteins:DIP-35005N;EcoCyc:PROTEIN-PII;EcoliWiki:b2553;MODBASE:P0A9Z1;Mint:MINT-1235669;Pride:P0A9Z1;Protein Model Portal:P0A9Z1;Protein Ontology:PRO_000022783;SWISS-MODEL:P0A9Z1;UniProt:P0A9Z1","InterPro:IPR002187;InterPro:IPR002332;InterPro:IPR011322;InterPro:IPR015867;InterPro:IPR017918;Pfam:PF00543;Prints:PR00340;Prosite:PS00496;Prosite:PS00638;Prosite:PS51343;Protein Data Bank:1PIL;Protein Data Bank:2PII;Protein Data Bank:5L9N;Smart:SM00938"
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"DL-glyceraldehyde","SmallMoleculeReference",NA,"ChEBI:CHEBI:5445;EcoCyc:CPD0-1551;KEGG LIGAND:C02154;PubChem-compound:751",NA
"acetate","SmallMoleculeReference",NA,"CAS:64-19-7;CAS:71-50-1;ChEBI:CHEBI:30089;ChemSpider:170;DrugBank:DB03166;EcoCyc:ACET;HMDB:HMDB00042;IAF1260:ac;KEGG LIGAND:C00033;MetaboLights:MTBLC30089;PubChem-compound:175;RefMet:Acetic acid",NA
"N-acetylmannosamine-6-P","SmallMoleculeReference",NA,"ChEBI:CHEBI:28273;EcoCyc:N-ACETYL-D-MANNOSAMINE-6P;HMDB:HMDB01121;IAF1260:acmanap;KEGG LIGAND:C04257;PubChem-compound:54758653",NA
"alpha;-D-glucosamine 6-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:75989;DrugBank:DB02657;EcoCyc:CPD-13469;PubChem-compound:25244770;RefMet:Glucosamine-6-phosphate",NA
"Fe++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29033;ChemSpider:25394;EcoCyc:FE+2;HMDB:HMDB00692;IAF1260:fe2;KEGG LIGAND:C14818;MetaboLights:MTBLC29033;PubChem-compound:27284",NA
"OH-pyruvate","SmallMoleculeReference",NA,"CAS:1113-60-6;ChEBI:CHEBI:17180;ChemSpider:3397158;EcoCyc:OH-PYR;HMDB:HMDB01352;IAF1260:hpyr;KEGG LIGAND:C00168;MetaboLights:MTBLC17180;PubChem-compound:4186339;RefMet:Hydroxypyruvic acid",NA
"P0A6L4","ProteinReference","NanA","Database of Interacting Proteins:DIP-10302N;EcoCyc:ACNEULY-MONOMER;EcoliWiki:b3225;MODBASE:P0A6L4;NCBI Reference Sequences Database:NP_417692;Pride:P0A6L4;Protein Model Portal:P0A6L4;SWISS-MODEL:P0A6L4;UniProt:P0A6L4","InterPro:IPR002220;InterPro:IPR005264;InterPro:IPR013785;InterPro:IPR020624;InterPro:IPR020625;Panther:PTHR42849:SF1;Pfam:PF00701;Prints:PR00146;Prosite:PS00665;Prosite:PS00666;Protein Data Bank:1FDY;Protein Data Bank:1FDZ;Protein Data Bank:1HL2;Protein Data Bank:1NAL;Protein Data Bank:2WKJ;Protein Data Bank:2WNN;Protein Data Bank:2WNQ;Protein Data Bank:2WNZ;Protein Data Bank:2WO5;Protein Data Bank:2WPB;Protein Data Bank:2XFW;Protein Data Bank:2YGY;Protein Data Bank:3LBC;Protein Data Bank:3LBM;Protein Data Bank:3LCF;Protein Data Bank:3LCG;Protein Data Bank:3LCH;Protein Data Bank:3LCI;Protein Data Bank:3LCL;Protein Data Bank:3LCW;Protein Data Bank:3LCX;Protein Data Bank:4BWL;Protein Data Bank:4UUI;Smart:SM01130"
