"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"chorismic acid","SmallMoleculeReference",NA,"CAS:55508-12-8;ChEBI:CHEBI:29748;ChemSpider:4573889;EcoCyc:CHORISMATE;HMDB:HMDB12199;IAF1260:chor;KEGG LIGAND:C00251;PubChem-compound:5460312;RefMet:Chorismic acid",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"3',5'-ADP","SmallMoleculeReference","3',5'-ADP","CAS:1053-73-2;ChEBI:CHEBI:58343;ChemSpider:19951095;EcoCyc:3-5-ADP;HMDB:HMDB00061;IAF1260:pap;KEGG LIGAND:C00054;MetaboLights:MTBLC58343;PubChem-compound:23615194",NA
"2,3-dihydroxybenzoate","SmallMoleculeReference",NA,"CAS:303-38-8;ChEBI:CHEBI:36654;ChemSpider:5323089;EcoCyc:2-3-DIHYDROXYBENZOATE;HMDB:HMDB00397;IAF1260:23dhb;KEGG LIGAND:C00196;PubChem-compound:54675818;RefMet:2-Pyrocatechuic acid",NA
"P0ADI4","ProteinReference",NA,"Database of Interacting Proteins:DIP-9512N;EcoCyc:ENTB-MONOMER;EcoliWiki:b0595;MODBASE:P0ADI4;Mint:MINT-1241343;NCBI Reference Sequences Database:NP_415127;Pride:P0ADI4;Protein Model Portal:P0ADI4;Protein Ontology:PRO_000022520;SWISS-MODEL:P0ADI4;Swiss-Model:P0ADI4;UniProt:P0ADI4","InterPro:IPR000868;InterPro:IPR009081;InterPro:IPR016291;Panther:PTHR43540:SF3;Pfam:PF00550;Pfam:PF00857;Prints:PR01398;Prosite:PS50075;Protein Data Bank:2FQ1;Protein Data Bank:3RG2"
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"enterobactin","SmallMoleculeReference",NA,"ChEBI:CHEBI:28855;ChemSpider:672;EcoCyc:ENTEROBACTIN;HMDB:HMDB32199;IAF1260:enter;KEGG LIGAND:C05821;MetaboLights:MTBLC28855;PubChem-compound:34231",NA
"(L-seryl)adenylate","SmallMoleculeReference",NA,"ChEBI:CHEBI:61231;EcoCyc:SERYL-AMP;IAF1260:seramp;KEGG LIGAND:C05820;PubChem-compound:90658332",NA
