"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"5,6,7,8-tetrahydrofolic acid","SmallMoleculeReference",NA,"CAS:135-16-0;CAS:29347-89-5;ChEBI:CHEBI:57453;EcoCyc:THF;HMDB:HMDB01846;IAF1260:thf;KEGG LIGAND:C00101;MetaboLights:MTBLC57453;PubChem-compound:25790919",NA
"isopropyl methyl ketone","SmallMoleculeReference",NA,"ChemSpider:10777;EcoCyc:CPD0-1307;PubChem-compound:11251",NA
"P0A6I9","ProteinReference","CoaE","Database of Interacting Proteins:DIP-47935N;EcoCyc:EG12312-MONOMER;EcoliWiki:b0103;MODBASE:P0A6I9;NCBI Reference Sequences Database:NP_414645;Pride:P0A6I9;Protein Model Portal:P0A6I9;Protein Ontology:PRO_000022311;SWISS-MODEL:P0A6I9;UniProt:P0A6I9","InterPro:IPR001977;InterPro:IPR027417;Pfam:PF01121;Prosite:PS51219;Protein Data Bank:1N3B;Protein Data Bank:1T3H;Protein Data Bank:1VHL;Protein Data Bank:1VHT;Protein Data Bank:1VIY"
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"P0A6I6","ProteinReference","CoaD","Database of Interacting Proteins:DIP-35966N;EcoCyc:PANTEPADENYLYLTRAN-MONOMER;EcoO157Cyc:KDTB-MONOMER;EcoliWiki:b3634;MODBASE:P0A6I6;NCBI Reference Sequences Database:NP_418091;Pride:P0A6I6;Protein Model Portal:P0A6I6;Protein Ontology:PRO_000022310;SWISS-MODEL:P0A6I6;UniProt:P0A6I6","InterPro:IPR001980;InterPro:IPR004821;InterPro:IPR014729;Pfam:PF01467;Prints:PR01020;Protein Data Bank:1B6T;Protein Data Bank:1GN8;Protein Data Bank:1H1T;Protein Data Bank:1QJC;Protein Data Bank:5JBN"
"P0ABQ0","ProteinReference","Dfp","Database of Interacting Proteins:DIP-48472N;EcoCyc:EG10004-MONOMER;EcoliWiki:B3639;NCBI Reference Sequences Database:NP_418096;Pride:P0ABQ0;Protein Model Portal:P0ABQ0;Protein Ontology:PRO_000022309;SWISS-MODEL:P0ABQ0;UniProt:P0ABQ0","InterPro:IPR003382;InterPro:IPR005252;InterPro:IPR007085;Pfam:PF02441;Pfam:PF04127;Protein Data Bank:1U7U;Protein Data Bank:1U7W;Protein Data Bank:1U7Z;Protein Data Bank:1U80"
"P31057","ProteinReference","PanB","Database of Interacting Proteins:DIP-10436N;EcoCyc:3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER;EcoliWiki:b0134;MODBASE:P31057;Mint:MINT-1249247;NCBI Reference Sequences Database:NP_414676;Pride:P31057;Protein Model Portal:P31057;Protein Ontology:PRO_000023488;SWISS-MODEL:P31057;UniProt:P31057","InterPro:IPR003700;InterPro:IPR015813;Panther:PTHR20881;Pfam:PF02548;Protein Data Bank:1M3U"
"N-pentylpantothenamide","SmallMoleculeReference",NA,"ChemSpider:8599641;EcoCyc:CPD0-1152;PubChem-compound:10424213",NA
"val","SmallMoleculeReference","val","CAS:72-18-4;ChEBI:CHEBI:57762;EcoCyc:VAL;HMDB:HMDB00883;IAF1260:val__L;KEGG LIGAND:C00183;MetaboLights:MTBLC57762;PubChem-compound:6971018;RefMet:Valine",NA
"4'-phosphopantothenoylcysteine","SmallMoleculeReference",NA,"ChEBI:CHEBI:59458;EcoCyc:R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE;HMDB:HMDB01117;IAF1260:4ppcys;KEGG LIGAND:C04352;MetaboLights:MTBLC59458;PubChem-compound:25245609",NA
"4'-phosphopantetheine","SmallMoleculeReference",NA,"ChEBI:CHEBI:61723;EcoCyc:PANTETHEINE-P;HMDB:HMDB01416;IAF1260:pan4p;KEGG LIGAND:C01134;MetaboLights:MTBLC61723;PubChem-compound:25245905;RefMet:Pantetheine 4'-phosphate",NA
"methylene-H4PteGlun","SmallMoleculeReference",NA,"EcoCyc:METHYLENE-THF-GLU-N",NA
"THF(glu)n","SmallMoleculeReference",NA,"EcoCyc:THF-GLU-N;KEGG LIGAND:C03541;PubChem-compound:25202940",NA
"formaldehyde","SmallMoleculeReference",NA,"CAS:50-00-0;ChEBI:CHEBI:16842;ChemSpider:692;DrugBank:DB03843;EcoCyc:FORMALDEHYDE;HMDB:HMDB01426;IAF1260:fald;KEGG LIGAND:C00067;MetaboLights:MTBLC16842;PubChem-compound:712",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"pantoate","SmallMoleculeReference",NA,"CAS:470-29-1;ChEBI:CHEBI:15980;ChemSpider:4451134;DrugBank:DB01930;EcoCyc:L-PANTOATE;IAF1260:pant__R;KEGG LIGAND:C00522;PubChem-compound:5289105;RefMet:(R)-pantoic acid",NA
