"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"Ag+","SmallMoleculeReference",NA,"CAS:14701-21-4;ChEBI:CHEBI:49468;ChemSpider:94565;EcoCyc:AG+;HMDB:HMDB02659;IAF1260:ag;PubChem-compound:104755",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"pentachlorophenol","SmallMoleculeReference",NA,"ChEBI:CHEBI:58217;EcoCyc:PENTACHLOROPHENOL;HMDB:HMDB41974;KEGG LIGAND:C02575;NCI Open DB:263497;PubChem-compound:4269236",NA
"1-phosphatidylglycerol","SmallMoleculeReference",NA,"ChEBI:CHEBI:64716;EcoCyc:L-1-PHOSPHATIDYL-GLYCEROL;IAF1260:pg120;IAF1260:pg140;IAF1260:pg141;IAF1260:pg181;KEGG LIGAND:C00344",NA
"(S)-malic acid","SmallMoleculeReference",NA,"CAS:6915-15-7;CAS:97-67-6;ChEBI:CHEBI:15589;ChemSpider:4573566;EcoCyc:MAL;HMDB:HMDB00156;IAF1260:mal__L;KEGG LIGAND:C00149;MetaboLights:MTBLC15589;PubChem-compound:5459792;RefMet:Malic acid",NA
"(Z)-prop-1-ene-1,2,3-tricarboxylate","SmallMoleculeReference",NA,"CAS:585-84-2;ChEBI:CHEBI:16383;ChemSpider:4573582;EcoCyc:CIS-ACONITATE;HMDB:HMDB00072;IAF1260:acon_C;KEGG LIGAND:C00417;KNApSAcK:C00001177;MetaboLights:MTBLC16383;PubChem-compound:5459816;RefMet:Cis-Aconitic acid",NA
"P08200","ProteinReference","Icd","Database of Interacting Proteins:DIP-10006N;EcoCyc:ISOCITDEH-SUBUNIT;EcoliWiki:b1136;MODBASE:P08200;NCBI Reference Sequences Database:NP_415654;Pride:P08200;Protein Model Portal:P08200;Protein Ontology:PRO_000022989;SWISS-MODEL:P08200;UniProt:P08200","InterPro:IPR004439;InterPro:IPR019818;InterPro:IPR024084;Panther:PTHR43504;Pfam:PF00180;Prosite:PS00470;Protein Data Bank:1AI2;Protein Data Bank:1AI3;Protein Data Bank:1BL5;Protein Data Bank:1CW1;Protein Data Bank:1CW4;Protein Data Bank:1CW7;Protein Data Bank:1GRO;Protein Data Bank:1GRP;Protein Data Bank:1HJ6;Protein Data Bank:1IDC;Protein Data Bank:1IDD;Protein Data Bank:1IDE;Protein Data Bank:1IDF;Protein Data Bank:1IKA;Protein Data Bank:1ISO;Protein Data Bank:1P8F;Protein Data Bank:1PB1;Protein Data Bank:1PB3;Protein Data Bank:1SJS;Protein Data Bank:3ICD;Protein Data Bank:3LCB;Protein Data Bank:4AJ3;Protein Data Bank:4AJA;Protein Data Bank:4AJB;Protein Data Bank:4AJC;Protein Data Bank:4AJR;Protein Data Bank:4AJS;Protein Data Bank:4BNP;Protein Data Bank:4ICD;Protein Data Bank:4P69;Protein Data Bank:5ICD;Protein Data Bank:6ICD;Protein Data Bank:7ICD;Protein Data Bank:8ICD;Protein Data Bank:9ICD;Smart:SM01329"
"P0ACX5","ProteinReference","FumD","EcoCyc:G6903-MONOMER;EcoliWiki:b1675;NCBI Reference Sequences Database:NP_416190;Pride:P0ACX5;Protein Model Portal:P0ACX5;UniProt:P0ACX5","InterPro:IPR024493;Pfam:PF10965"
"UQ","SmallMoleculeReference","UQ","ChEBI:CHEBI:16389;EcoCyc:Ubiquinones",NA
"P0A9P0","ProteinReference","Lpd","Database of Interacting Proteins:DIP-6854N;EcoCyc:E3-MONOMER;EcoliWiki:b0116;MODBASE:P0A9P0;Mint:MINT-1242510;NCBI Reference Sequences Database:NP_414658;Pride:P0A9P0;Protein Model Portal:P0A9P0;Protein Ontology:PRO_000023109;SWISS-MODEL:P0A9P0;Swiss-Model:P0A9P0;UniProt:P0A9P0","InterPro:IPR004099;InterPro:IPR006258;InterPro:IPR012999;InterPro:IPR016156;InterPro:IPR023753;Panther:PTHR22912:SF20;Pfam:PF02852;Pfam:PF07992;Prints:PR00368;Prosite:PS00076;Protein Data Bank:4JDR"
"Cadmium","SmallMoleculeReference",NA,"ChEBI:CHEBI:48775;ChemSpider:28935;EcoCyc:CD+2;HMDB:HMDB03638;IAF1260:cd2;KEGG LIGAND:C01413;PubChem-compound:31193",NA
"P0AC33","ProteinReference","FumA","Database of Interacting Proteins:DIP-36200N;EcoCyc:FUMA-MONOMER;EcoliWiki:b1612;Mint:MINT-1310290;NCBI Reference Sequences Database:NP_416129;Pride:P0AC33;Protein Model Portal:P0AC33;Protein Ontology:PRO_000022734;SWISS-MODEL:P0AC33;UniProt:P0AC33","InterPro:IPR004646;InterPro:IPR004647;InterPro:IPR011167;InterPro:IPR020557;Pfam:PF05681;Pfam:PF05683;Prosite:PS00163"
