"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"udp-glcua","SmallMoleculeReference",NA,"CAS:2616-64-0;ChEBI:CHEBI:58052;EcoCyc:UDP-GLUCURONATE;HMDB:HMDB00935;IAF1260:udpglcur;KEGG LIGAND:C00167;MetaboLights:MTBLC58052;PubChem-compound:25202620;RefMet:UDP-glucuronic acid",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"D-mannopyranose-6-P","SmallMoleculeReference",NA,"ChEBI:CHEBI:48066;EcoCyc:CPD-15979",NA
"5-phospho-D-arabinonohydroxamate","SmallMoleculeReference",NA,"EcoCyc:CPD-15157;PubChem-compound:10400331",NA
"guanosine pyrophosphate mannose","SmallMoleculeReference",NA,"CAS:18441-12-8;CAS:3123-67-9;ChEBI:CHEBI:57527;EcoCyc:GDP-MANNOSE;HMDB:HMDB01163;IAF1260:gdpmann;KEGG LIGAND:C00096;MetaboLights:MTBLC57527;PubChem-compound:46878389",NA
"GDP","SmallMoleculeReference",NA,"CAS:146-91-8;ChEBI:CHEBI:58189;ChemSpider:10239187;EcoCyc:GDP;HMDB:HMDB01201;IAF1260:gdp;KEGG LIGAND:C00035;MetaboLights:MTBLC58189;PubChem-compound:21604868;RefMet:GDP",NA
"P00946","ProteinReference","ManA","Database of Interacting Proteins:DIP-10153N;EcoCyc:MANNPISOM-MONOMER;EcoliWiki:b1613;MODBASE:P00946;Mint:MINT-1241491;NCBI Reference Sequences Database:NP_416130;Pride:P00946;Protein Model Portal:P00946;SWISS-MODEL:P00946;UniProt:P00946","InterPro:IPR001250;InterPro:IPR011051;InterPro:IPR014710;InterPro:IPR016305;InterPro:IPR018050;Panther:PTHR10309;Pfam:PF01238;Prints:PR00714;Prosite:PS00965;Prosite:PS00966"
"Mg+2","SmallMoleculeReference",NA,"ChEBI:CHEBI:18420;ChemSpider:865;DrugBank:DB01378;EcoCyc:MG+2;HMDB:HMDB00547;IAF1260:mg2;KEGG LIGAND:C00305;PubChem-compound:888",NA
"P36938","ProteinReference","Pgm","Database of Interacting Proteins:DIP-10472N;EcoCyc:PHOSPHOGLUCMUT-MONOMER;EcoliWiki:b0688;MODBASE:P36938;Mint:MINT-1240111;NCBI Reference Sequences Database:NP_415214;Pride:P36938;Protein Model Portal:P36938;Protein Ontology:PRO_000023524;SWISS-MODEL:P36938;Swiss-Model:P36938;UniProt:P36938","InterPro:IPR005843;InterPro:IPR005844;InterPro:IPR005845;InterPro:IPR005846;InterPro:IPR005852;InterPro:IPR016055;InterPro:IPR016066;Pfam:PF00408;Pfam:PF02878;Pfam:PF02879;Pfam:PF02880;Prosite:PS00710"
"P24174","ProteinReference","CpsB","EcoCyc:MANNPGUANYLTRANGDP-MONOMER;EcoliWiki:b2049;MODBASE:P24174;NCBI Reference Sequences Database:NP_416553;Pride:P24174;Protein Model Portal:P24174;Protein Ontology:PRO_000023160;SWISS-MODEL:P24174;UniProt:P24174","InterPro:IPR001538;InterPro:IPR005835;InterPro:IPR006375;InterPro:IPR011051;InterPro:IPR014710;InterPro:IPR029044;Pfam:PF00483;Pfam:PF01050"
"guanosine diphosphate fucose","SmallMoleculeReference",NA,"CAS:15839-70-0;EcoCyc:GUANOSINE_DIPHOSPHATE_FUCOSE;HMDB:HMDB01095;IAF1260:gdpfuc;KEGG LIGAND:C00325",NA
"6-p gluconate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58759;EcoCyc:CPD-2961;HMDB:HMDB01316;IAF1260:6pgc;KEGG LIGAND:C00345;MetaboLights:MTBLC58759;PubChem-compound:36688186;RefMet:6-Phosphogluconic acid",NA
"P0AEP3","ProteinReference","GalU","Database of Interacting Proteins:DIP-35950N;EcoCyc:GLUC1PURIDYLTRANS-MONOMER;EcoliWiki:b1236;NCBI Reference Sequences Database:NP_415752;Pride:P0AEP3;Protein Model Portal:P0AEP3;SWISS-MODEL:P0AEP3;Swiss-Model:P0AEP3;UniProt:P0AEP3","InterPro:IPR005771;InterPro:IPR005835;InterPro:IPR029044;Pfam:PF00483;Protein Data Bank:2E3D"
"F6P","SmallMoleculeReference","F6P","CAS:643-13-0;ChEBI:CHEBI:57634;ChemSpider:10239172;EcoCyc:FRUCTOSE-6P;IAF1260:f6p;PubChem-compound:21604863",NA
"P24175","ProteinReference","CpsG","EcoCyc:PHOSMANMUT-MONOMER;EcoliWiki:b2048;MODBASE:P24175;NCBI Reference Sequences Database:NP_416552;Pride:P24175;Protein Model Portal:P24175;Protein Ontology:PRO_000023159;SWISS-MODEL:P24175;UniProt:P24175","InterPro:IPR005841;InterPro:IPR005843;InterPro:IPR005844;InterPro:IPR005845;InterPro:IPR005846;InterPro:IPR016055;InterPro:IPR016066;Pfam:PF00408;Pfam:PF02878;Pfam:PF02879;Pfam:PF02880;Prints:PR00509;Prosite:PS00710"
"GDP-beta;-L-fucose","SmallMoleculeReference",NA,"ChEBI:CHEBI:57273;EcoCyc:CPD-13118;PubChem-compound:25244478",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"Al+++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49470;ChemSpider:94544;EcoCyc:CPD-1484;HMDB:HMDB01247;PubChem-compound:104727",NA
"P32055","ProteinReference","Fcl","EcoCyc:FCL-MONOMER;EcoliWiki:b2052;MODBASE:P32055;NCBI Reference Sequences Database:NP_416556;Pride:P32055;Protein Model Portal:P32055;SWISS-MODEL:P32055;UniProt:P32055","InterPro:IPR001509;InterPro:IPR016040;InterPro:IPR028614;Pfam:PF01370;Protein Data Bank:1BSV;Protein Data Bank:1BWS;Protein Data Bank:1E6U;Protein Data Bank:1E7Q;Protein Data Bank:1E7R;Protein Data Bank:1E7S;Protein Data Bank:1FXS;Protein Data Bank:1GFS"
"Ca++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29108;ChemSpider:266;EcoCyc:CA+2;HMDB:HMDB00464;IAF1260:ca2;KEGG LIGAND:C00076;MetaboLights:MTBLC29108;PubChem-compound:271",NA
"mannose-1-phosphate","SmallMoleculeReference",NA,"CAS:27251-84-9;ChEBI:CHEBI:58409;EcoCyc:MANNOSE-1P;HMDB:HMDB06330;IAF1260:man1p;KEGG LIGAND:C00636;PubChem-compound:25245607",NA
"GDP-4-keto-6-deoxy-alpha;-D-mannose","SmallMoleculeReference",NA,"ChEBI:CHEBI:57964;EcoCyc:GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE;HMDB:HMDB01346;IAF1260:gdpddman;KEGG LIGAND:C01222;MetaboLights:MTBLC57964;PubChem-compound:25243979",NA
"Cu(I)","SmallMoleculeReference",NA,"ChEBI:CHEBI:49552;ChemSpider:94614;EcoCyc:CU+;IAF1260:cu;PubChem-compound:104815",NA
"P1-uridyl-P2-methyl diphosphate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1325;PubChem-compound:25202179",NA
"CoA","SmallMoleculeReference",NA,"CAS:85-61-0;ChEBI:CHEBI:57287;EcoCyc:CO-A;HMDB:HMDB01423;IAF1260:coa;KEGG LIGAND:C00010;KNApSAcK:C00007258;MetaboLights:MTBLC57287;PubChem-compound:25113190;RefMet:Coenzyme A;Wikipedia:Coenzyme_a",NA
