"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"P21170","ProteinReference","SpeA","Database of Interacting Proteins:DIP-10905N;EcoCyc:ARGDECARBOXBIO-MONOMER;EcoliWiki:b2938;MODBASE:P21170;NCBI Reference Sequences Database:NP_417413;Pride:P21170;Protein Model Portal:P21170;Protein Ontology:PRO_000023971;SWISS-MODEL:P21170;UniProt:P21170","InterPro:IPR000183;InterPro:IPR002985;InterPro:IPR009006;InterPro:IPR022644;InterPro:IPR022653;InterPro:IPR022657;InterPro:IPR029066;Panther:PTHR43295;Pfam:PF02784;Prints:PR01179;Prints:PR01180;Prosite:PS00878;Prosite:PS00879;Protein Data Bank:3NZQ"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"phosphothreonine","SmallMoleculeReference",NA,"CAS:1114-81-4;ChEBI:CHEBI:58675;EcoCyc:L-THREONINE-O-3-PHOSPHATE;HMDB:HMDB11185;IAF1260:thrp;KEGG LIGAND:C12147;PubChem-compound:36688171",NA
"cyanoborohydride","SmallMoleculeReference",NA,"ChemSpider:4892542;EcoCyc:CPD0-1399;PubChem-compound:6338343",NA
"9-[6(RS)-C-carboxamido-5,6,7-trideoxy-beta;-D-ribo-octofuranosyl]-9H-purin-6-amine","SmallMoleculeReference",NA,"EcoCyc:CPD0-1405;PubChem-compound:14728184",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"N-3-aminopropyl-1,5-diaminopentane","SmallMoleculeReference",NA,"ChEBI:CHEBI:64858;EcoCyc:CPD0-1065;HMDB:HMDB12189;KEGG LIGAND:C16565;PubChem-compound:25246266",NA
"lys","SmallMoleculeReference","lys","CAS:56-87-1;ChEBI:CHEBI:32551;ChemSpider:5747;EcoCyc:LYS;HMDB:HMDB00182;IAF1260:33655;IAF1260:lys__L;KEGG LIGAND:C00047;MetaboLights:MTBLC32551;PubChem-compound:5460926;RefMet:Lysine",NA
"DFMA","SmallMoleculeReference",NA,"EcoCyc:CPD0-1663;PubChem-compound:44123509",NA
"guanosine 3'-diphosphate 5'-diphosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:77828;ChemSpider:13082026;DrugBank:DB04022;EcoCyc:GUANOSINE-5DP-3DP;HMDB:HMDB59638;IAF1260:ppgpp;KEGG LIGAND:C01228;PubChem-compound:15938967",NA
"GDP","SmallMoleculeReference",NA,"CAS:146-91-8;ChEBI:CHEBI:58189;ChemSpider:10239187;EcoCyc:GDP;HMDB:HMDB01201;IAF1260:gdp;KEGG LIGAND:C00035;MetaboLights:MTBLC58189;PubChem-compound:21604868;RefMet:GDP",NA
"methylglyoxalbis(guanylhydrazone)","SmallMoleculeReference",NA,"EcoCyc:CPD0-1398;PubChem-compound:25201941",NA
"dAdoMet","SmallMoleculeReference","dAdoMet","ChEBI:CHEBI:57443;EcoCyc:S-ADENOSYLMETHIONINAMINE;HMDB:HMDB00988;IAF1260:ametam;KEGG LIGAND:C01137;MetaboLights:MTBLC57443;PubChem-compound:25203490;RefMet:S-Adenosylmethioninamine",NA
"P60651","ProteinReference","SpeB","Database of Interacting Proteins:DIP-10906N;EcoCyc:AGMATIN-MONOMER;EcoliWiki:b2937;MODBASE:P60651;NCBI Reference Sequences Database:NP_417412;Pride:P60651;Protein Model Portal:P60651;Protein Ontology:PRO_000023972;SWISS-MODEL:P60651;Swiss-Model:P60651;UniProt:P60651","InterPro:IPR005925;InterPro:IPR006035;InterPro:IPR020855;InterPro:IPR023694;Panther:PTHR11358;Pfam:PF00491;Prosite:PS01053;Prosite:PS51409"
"P21169","ProteinReference","SpeC","Database of Interacting Proteins:DIP-10907N;EcoCyc:ORNDECARBOX-BIO-MONOMER;EcoliWiki:b2965;MODBASE:P21169;NCBI Reference Sequences Database:NP_417440;Pride:P21169;Protein Model Portal:P21169;Protein Ontology:PRO_000023973;SWISS-MODEL:P21169;UniProt:P21169","InterPro:IPR000310;InterPro:IPR005308;InterPro:IPR008286;InterPro:IPR011006;InterPro:IPR011193;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;InterPro:IPR027464;Pfam:PF01276;Pfam:PF03709;Pfam:PF03711;Prosite:PS00703"
"5'-(dimethylsulfonio)-5'-deoxyadenosine","SmallMoleculeReference",NA,"ChEBI:CHEBI:129623;ChemSpider:146391;EcoCyc:CPD0-1396;PubChem-compound:167321",NA
"spermidine","SmallMoleculeReference",NA,"CAS:124-20-9;ChEBI:CHEBI:57834;ChemSpider:5360248;EcoCyc:SPERMIDINE;HMDB:HMDB01257;IAF1260:spmd;KEGG LIGAND:C00315;MetaboLights:MTBLC57834;PubChem-compound:6992097;RefMet:Spermidine",NA
"AA","SmallMoleculeReference",NA,"EcoCyc:CPD0-1659;PubChem-compound:19773255",NA
"L-seryl phosphate","SmallMoleculeReference",NA,"CAS:17885-08-4;CAS:407-41-0;ChEBI:CHEBI:57524;ChemSpider:5415612;EcoCyc:3-P-SERINE;HMDB:HMDB00272;IAF1260:pser__L;KEGG LIGAND:C01005;PubChem-compound:7059387;RefMet:Phosphoserine",NA
"ethylglyoxalbis(guanylhydrazone)","SmallMoleculeReference",NA,"EcoCyc:CPD0-1397;PubChem-compound:25201539",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"P0A9H3","ProteinReference","CadA","Database of Interacting Proteins:DIP-35646N;EcoCyc:LYSDECARBOX-MONOMER;EcoliWiki:b4131;MODBASE:P0A9H3;Mint:MINT-1234345;NCBI Reference Sequences Database:NP_418555;Pride:P0A9H3;Protein Model Portal:P0A9H3;Protein Ontology:PRO_000022240;SWISS-MODEL:P0A9H3;UniProt:P0A9H3","InterPro:IPR000310;InterPro:IPR005308;InterPro:IPR008286;InterPro:IPR011193;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;Pfam:PF01276;Pfam:PF03709;Pfam:PF03711;Prosite:PS00703;Protein Data Bank:3N75;Protein Data Bank:3Q16;Protein Data Bank:4UPB;Protein Data Bank:4UPF;Protein Data Bank:5FKX;Protein Data Bank:5FL2"
"Al+++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49470;ChemSpider:94544;EcoCyc:CPD-1484;HMDB:HMDB01247;PubChem-compound:104727",NA
"agmatine","SmallMoleculeReference",NA,"CAS:306-60-5;ChEBI:CHEBI:58145;ChemSpider:4422891;EcoCyc:AGMATHINE;HMDB:HMDB01432;IAF1260:agm;KEGG LIGAND:C00179;MetaboLights:MTBLC58145;PubChem-compound:5257176;RefMet:Agmatine",NA
"PHMB","SmallMoleculeReference",NA,"ChemSpider:15605527;EcoCyc:PHMB;PubChem-compound:3647458",NA
"Ca++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29108;ChemSpider:266;EcoCyc:CA+2;HMDB:HMDB00464;IAF1260:ca2;KEGG LIGAND:C00076;MetaboLights:MTBLC29108;PubChem-compound:271",NA
