"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"P0AE22","ProteinReference","AphA","Database of Interacting Proteins:DIP-9116N;EcoCyc:APHA-MONOMER;EcoliWiki:b4055;MODBASE:P0AE22;Mint:MINT-1294190;NCBI Reference Sequences Database:NP_418479;Pride:P0AE22;Protein Model Portal:P0AE22;Protein Ontology:PRO_000022108;SWISS-MODEL:P0AE22;Swiss-Model:P0AE22;UniProt:P0AE22","InterPro:IPR005519;InterPro:IPR010025;InterPro:IPR023214;Pfam:PF03767;Protein Data Bank:1N8N;Protein Data Bank:1N9K;Protein Data Bank:1RMQ;Protein Data Bank:1RMT;Protein Data Bank:1RMY;Protein Data Bank:2B82;Protein Data Bank:2B8J;Protein Data Bank:2G1A;Protein Data Bank:2HEG;Protein Data Bank:2HF7;Protein Data Bank:3CZ4"
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"APS","SmallMoleculeReference","APS","CAS:485-84-7;ChEBI:CHEBI:58243;EcoCyc:APS;HMDB:HMDB01003;IAF1260:aps;KEGG LIGAND:C00224;MetaboLights:MTBLC58243;PubChem-compound:49852317",NA
"3',5'-ADP","SmallMoleculeReference","3',5'-ADP","CAS:1053-73-2;ChEBI:CHEBI:58343;ChemSpider:19951095;EcoCyc:3-5-ADP;HMDB:HMDB00061;IAF1260:pap;KEGG LIGAND:C00054;MetaboLights:MTBLC58343;PubChem-compound:23615194",NA
"D-glycerate-3-P","SmallMoleculeReference",NA,"CAS:820-11-1;ChEBI:CHEBI:58272;EcoCyc:G3P;HMDB:HMDB60180;IAF1260:3pg;KEGG LIGAND:C00197;MetaboLights:MTBLC58272;PubChem-compound:25245548;RefMet:3-Phosphoglyceric acid",NA
"PAPS","SmallMoleculeReference","PAPS","CAS:482-67-7;ChEBI:CHEBI:58339;EcoCyc:PAPS;HMDB:HMDB01134;IAF1260:paps;KEGG LIGAND:C00053;KNApSAcK:C00007446;MetaboLights:MTBLC58339;PubChem-compound:46926099",NA
"P0A9T0","ProteinReference","SerA","Database of Interacting Proteins:DIP-10851N;EcoCyc:PGLYCDEHYDROG-MONOMER;EcoliWiki:b2913;NCBI Reference Sequences Database:NP_417388;Pride:P0A9T0;Protein Model Portal:P0A9T0;SWISS-MODEL:P0A9T0;UniProt:P0A9T0","InterPro:IPR002912;InterPro:IPR006139;InterPro:IPR006140;InterPro:IPR016040;InterPro:IPR029015;InterPro:IPR029752;InterPro:IPR029753;Panther:PTHR10996:SF184;Pfam:PF00389;Pfam:PF01842;Pfam:PF02826;Prosite:PS00065;Prosite:PS00670;Prosite:PS00671;Prosite:PS51671;Protein Data Bank:1PSD;Protein Data Bank:1SC6;Protein Data Bank:1YBA;Protein Data Bank:2P9C;Protein Data Bank:2P9E;Protein Data Bank:2P9G;Protein Data Bank:2PA3"
"ala","SmallMoleculeReference","ala","CAS:56-41-7;ChEBI:CHEBI:57972;EcoCyc:L-ALPHA-ALANINE;HMDB:HMDB00161;IAF1260:ala__L;KEGG LIGAND:C00041;MetaboLights:MTBLC57972;PubChem-compound:7311724;RefMet:Alanine",NA
"P0A6J1","ProteinReference","CysC","EcoCyc:ADENYLYLSULFKIN-MONOMER;EcoliWiki:b2750;MODBASE:P0A6J1;NCBI Reference Sequences Database:NP_417230;Pride:P0A6J1;Protein Model Portal:P0A6J1;Protein Ontology:PRO_000022375;SWISS-MODEL:P0A6J1;Swiss-Model:P0A6J1;UniProt:P0A6J1","InterPro:IPR002891;InterPro:IPR027417;Pfam:PF01583"
"H2SO4","SmallMoleculeReference",NA,"CAS:14808-79-8;ChEBI:CHEBI:16189;ChemSpider:1085;EcoCyc:SULFATE;HMDB:HMDB01448;IAF1260:so4;KEGG LIGAND:C00059;MetaboLights:MTBLC16189;PubChem-compound:1117",NA
"L-seryl phosphate","SmallMoleculeReference",NA,"CAS:17885-08-4;CAS:407-41-0;ChEBI:CHEBI:57524;ChemSpider:5415612;EcoCyc:3-P-SERINE;HMDB:HMDB00272;IAF1260:pser__L;KEGG LIGAND:C01005;PubChem-compound:7059387;RefMet:Phosphoserine",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"P16703","ProteinReference","CysM","Database of Interacting Proteins:DIP-9383N;EcoCyc:ACSERLYB-MONOMER;EcoliWiki:b2421;MODBASE:P16703;Mint:MINT-1300981;NCBI Reference Sequences Database:NP_416916;Pride:P16703;Protein Model Portal:P16703;Protein Ontology:PRO_000022383;SWISS-MODEL:P16703;UniProt:P16703","InterPro:IPR001216;InterPro:IPR001926;InterPro:IPR005856;InterPro:IPR005858;Panther:PTHR10314:SF145;Pfam:PF00291;Prosite:PS00901;Protein Data Bank:2BHS;Protein Data Bank:2BHT;Protein Data Bank:2V03"
"P38038","ProteinReference","CysJ","Database of Interacting Proteins:DIP-9381N;Database of Protein Disorder:DP00190;EcoCyc:ALPHACOMP-MONOMER;EcoliWiki:b2764;MODBASE:P38038;Mint:MINT-1239442;NCBI Reference Sequences Database:NP_417244;Pride:P38038;Protein Model Portal:P38038;Protein Ontology:PRO_000022381;SWISS-MODEL:P38038;UniProt:P38038","InterPro:IPR001094;InterPro:IPR001433;InterPro:IPR001709;InterPro:IPR003097;InterPro:IPR008254;InterPro:IPR010199;InterPro:IPR017927;InterPro:IPR017938;InterPro:IPR029039;InterPro:IPR029758;Pfam:PF00175;Pfam:PF00258;Pfam:PF00667;Prints:PR00369;Prints:PR00371;Prosite:PS50902;Prosite:PS51384;Protein Data Bank:1DDG;Protein Data Bank:1DDI;Protein Data Bank:1YKG"
"P0A9D4","ProteinReference","CysE","Database of Interacting Proteins:DIP-9377N;EcoCyc:SERINE-O-ACETTRAN-MONOMER;EcoliWiki:b3607;MODBASE:P0A9D4;NCBI Reference Sequences Database:NP_418064;Pride:P0A9D4;Protein Model Portal:P0A9D4;Protein Ontology:PRO_000022377;SWISS-MODEL:P0A9D4;UniProt:P0A9D4","InterPro:IPR001451;InterPro:IPR005881;InterPro:IPR010493;InterPro:IPR011004;InterPro:IPR018357;Pfam:PF00132;Pfam:PF06426;Prosite:PS00101;Protein Data Bank:1T3D;Smart:SM00971"
"glu","SmallMoleculeReference","glu","CAS:56-86-0;ChEBI:CHEBI:29985;ChemSpider:4573882;EcoCyc:GLT;HMDB:HMDB00148;IAF1260:glu__L;KEGG LIGAND:C00025;KNApSAcK:C00001358;MetaboLights:MTBLC29985;PubChem-compound:5460299;RefMet:Glutamic acid",NA
"hydrogen sulfide","SmallMoleculeReference",NA,"CAS:7783-06-4;ChEBI:CHEBI:16136;ChemSpider:391;EcoCyc:HS;HMDB:HMDB03276;IAF1260:h2s;KEGG LIGAND:C00283;MetaboLights:MTBLC16136;PubChem-compound:402",NA
"CoA","SmallMoleculeReference",NA,"CAS:85-61-0;ChEBI:CHEBI:57287;EcoCyc:CO-A;HMDB:HMDB01423;IAF1260:coa;KEGG LIGAND:C00010;KNApSAcK:C00007258;MetaboLights:MTBLC57287;PubChem-compound:25113190;RefMet:Coenzyme A;Wikipedia:Coenzyme_a",NA
"gly","SmallMoleculeReference","gly","CAS:56-40-6;ChEBI:CHEBI:57305;ChemSpider:730;DrugBank:DB00145;EcoCyc:GLY;HMDB:HMDB00123;IAF1260:gly;KEGG LIGAND:C00037;KNApSAcK:C00001361;MetaboLights:MTBLC15428;PubChem-compound:5257127;RefMet:Glycine",NA
