"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(L-aspartyl)adenylate","chemical-affects","P21889",NA,"10918062;12766171;15289581;15582453;18076053;2129559;9171418","null"
"2'-deoxyadenosine triphosphate","chemical-affects","P0AGJ9",NA,"10572925;1096941;11006270;12097643;4289778;4626368","null"
"2-amino-4-(guanidinooxy)butyric acid","chemical-affects","P11875",NA,"16427818;3064807;3064808;37899;384995;4890761;795645","null"
"2-iodo-L-isoleucine-NHSO2-AMP","chemical-affects","P00956",NA,"12643918;19557155;4334974;764868;8129874;8286369","null"
"2-phenylethanamidine","chemical-affects","P07395",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
"2-phenylethanamidine","chemical-affects","P08312",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
"3-phenylpropionic acid","chemical-affects","P07395",NA,"1420156;4373046;4578095;4603142;6360212;6754571","null"
"3-phenylpropionic acid","chemical-affects","P08312",NA,"1420156;4373046;4578095;4603142;6360212;6754571","null"
"5'-O-[N-(L-aspartyl)sulfamoyl]adenosine","chemical-affects","P21889",NA,"10918062;12766171;15289581;15582453;18076053;2129559;9171418","null"
"5'-O-[N-(L-glutamyl)-sulfamoyl] adenosine","chemical-affects","P04805",NA,"1384858;15895686;19496540;229901;229902;368055;369459;4341531;4341532;4560497;7014220;786370;8218204","null"
"o-phenanthroline","chemical-affects","P00957",NA,"1712632;2548595;340903;7005211","null"
"L-histidinol","chemical-affects","P60906",NA,"11329259;15751955;17889423;4591623;9131996;9266856","null"
"L-homoarginine","chemical-affects","P11875",NA,"16427818;3064807;3064808;37899;384995;4890761;795645","null"
"N-benzylbenzamidine","chemical-affects","P07395",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
"N-benzylbenzamidine","chemical-affects","P08312",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
"N-benzylguanidine","chemical-affects","P07395",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
"N-benzylguanidine","chemical-affects","P08312",NA,"1097688;1420156;4373046;4578095;4603142;6360212;6754571","null"
