"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"butanedione","SmallMoleculeReference",NA,"CAS:431-03-8;ChEBI:CHEBI:16583;ChemSpider:630;EcoCyc:DIACETYL;HMDB:HMDB03407;KEGG LIGAND:C00741;PubChem-compound:650;RefMet:Diacetyl",NA
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"cyanoborohydride","SmallMoleculeReference",NA,"ChemSpider:4892542;EcoCyc:CPD0-1399;PubChem-compound:6338343",NA
"1,3-propanediol-P","SmallMoleculeReference",NA,"ChemSpider:11646042;EcoCyc:CPD0-1458;PubChem-compound:23448312",NA
"1-phosphatidylglycerol","SmallMoleculeReference",NA,"ChEBI:CHEBI:64716;EcoCyc:L-1-PHOSPHATIDYL-GLYCEROL;IAF1260:pg120;IAF1260:pg140;IAF1260:pg141;IAF1260:pg181;KEGG LIGAND:C00344",NA
"P0AD42","ProteinReference","PgpC","EcoCyc:EG11371-MONOMER;EcoliWiki:b2560;NCBI Reference Sequences Database:NP_417055;Pride:P0AD42;Protein Model Portal:P0AD42;UniProt:P0AD42","InterPro:IPR006435;InterPro:IPR023214;Pfam:PF12710"
"P0A6A8","ProteinReference",NA,"Database of Interacting Proteins:DIP-29374N;Database of Protein Disorder:DP00416;EcoCyc:EG50003-MONOMER;EcoliWiki:b1094;IAF1260:apoACP;MODBASE:P02901;Mint:MINT-1231626;Pride:P0A6A8;Protein Model Portal:P0A6A8;SWISS-MODEL:P0A6A8;UniProt:P0A6A8","InterPro:IPR003231;InterPro:IPR006162;InterPro:IPR009081;Pfam:PF00550;ProDom; a protein domain database:PD000887;Prosite:PS00012;Prosite:PS50075;Protein Data Bank:1ACP;Protein Data Bank:1L0H;Protein Data Bank:1L0I;Protein Data Bank:1T8K;Protein Data Bank:2FAC;Protein Data Bank:2FAD;Protein Data Bank:2FAE;Protein Data Bank:2FHS;Protein Data Bank:2K92;Protein Data Bank:2K93;Protein Data Bank:2K94;Protein Data Bank:3EJB;Protein Data Bank:3EJD;Protein Data Bank:3EJE;Protein Data Bank:3NY7;Protein Data Bank:5USR"
"P18200","ProteinReference","PgpA","EcoCyc:PGPPHOSPHAA-MONOMER;EcoliWiki:b0418;NCBI Reference Sequences Database:NP_414952;Pride:P18200;Protein Model Portal:P18200;Protein Ontology:PRO_000023525;SWISS-MODEL:P18200;UniProt:P18200","InterPro:IPR007686;InterPro:IPR026037;Pfam:PF04608"
"P75919","ProteinReference","ClsC","Database of Interacting Proteins:DIP-12712N;EcoCyc:G6551-MONOMER;EcoliWiki:b1046;MODBASE:P75919;NCBI Reference Sequences Database:NP_415564;Pride:P75919;Protein Model Portal:P75919;UniProt:P75919","InterPro:IPR001736;InterPro:IPR025202;InterPro:IPR030871;Pfam:PF13091;Prosite:PS50035;Smart:SM00155"
"3,4,-dihydroxybutylphosphonate","SmallMoleculeReference",NA,"EcoCyc:CPD0-2099;PubChem-compound:54758616",NA
