"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00010","YP_788156.1","chromosomal replication initiation protein","515","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00020","YP_788157.1","DNA polymerase III subunit beta","368","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00030","YP_788158.1","recombination protein F","370","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00050","YP_788159.1","DNA gyrase subunit B","807","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00060","YP_788160.1","acyltransferase","258","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00070","YP_788161.1","D,D-heptose 1,7-bisphosphate phosphatase","179","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00080","YP_788162.1","hypothetical protein","569","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00090","YP_788163.1","glycyl-tRNA synthetase subunit beta","685","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00100","YP_788164.1","glycyl-tRNA synthetase subunit alpha","316","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00110","YP_788165.1","DNA-3-methyladenine glycosidase I","184","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00120","YP_788166.1","lipid A biosynthesis lauroyl acyltransferase","296","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00130","YP_788167.1","hypothetical protein","89","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00140","YP_788168.1","hypothetical protein","218","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00150","YP_788169.1","hypothetical protein","91","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00160","YP_788170.1","hypothetical protein","106","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00170","YP_788171.1","potassium transporter peripheral membrane protein","458","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00180","YP_788172.1","tRNA and rRNA cytosine-C5-methylases","435","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00190","YP_788173.1","methionyl-tRNA formyltransferase","315","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00200","YP_788174.1","peptide deformylase","169","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00210","YP_788175.1","lysin domain-containing protein","342","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00230","YP_788176.1","Rossmann fold nucleotide-binding protein","363","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00240","YP_788177.1","hypothetical protein","186","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00250","YP_788178.1","quinone oxidoreductase","326","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00280","YP_788179.1","coproporphyrinogen III oxidase","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00290","YP_788180.1","shikimate 5-dehydrogenase","275","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00300","YP_788181.1","phospholipase C, PlcB","329","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00310","YP_788182.1","peptidyl-prolyl isomerase","429","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00320","YP_788183.1","hypothetical protein","201","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00340","YP_788184.1","sulfate transporter","518","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00360","YP_788185.1","hypothetical protein","308","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00380","YP_788186.1","choline sulfatase","504","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00400","YP_788187.1","LysR family transcriptional regulator","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00410","YP_788188.1","dioxygenase","126","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00420","YP_788189.1","histidine phosphotransfer domain-containing protein","122","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00430","YP_788190.1","two-component response regulator","208","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00440","YP_788191.1","tryptophan synthase subunit alpha","269","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00450","YP_788192.1","tryptophan synthase subunit beta","403","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00460","YP_788193.1","transcriptional regulator TrpI","296","Cytoplasmic","Class 3","Primary"
