"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"ethanediamine","SmallMoleculeReference",NA,"CAS:333-18-6;EcoCyc:CPD-3682;PubChem-compound:5063660",NA
"5,6,7,8-tetrahydrofolic acid","SmallMoleculeReference",NA,"CAS:135-16-0;CAS:29347-89-5;ChEBI:CHEBI:57453;EcoCyc:THF;HMDB:HMDB01846;IAF1260:thf;KEGG LIGAND:C00101;MetaboLights:MTBLC57453;PubChem-compound:25790919",NA
"P0ABQ4","ProteinReference","FolA","Database of Interacting Proteins:DIP-35824N;Database of Protein Disorder:DP00301;EcoCyc:DIHYDROFOLATEREDUCT-MONOMER;EcoliWiki:b0048;MODBASE:P0ABQ4;Mint:MINT-1239602;NCBI Reference Sequences Database:NP_414590;Pride:P0ABQ4;Protein Model Portal:P0ABQ4;SWISS-MODEL:P0ABQ4;UniProt:P0ABQ4","InterPro:IPR001796;InterPro:IPR012259;InterPro:IPR017925;InterPro:IPR024072;Pfam:PF00186;Prints:PR00070;Prosite:PS00075;Prosite:PS51330;Protein Data Bank:1DDR;Protein Data Bank:1DDS;Protein Data Bank:1DHI;Protein Data Bank:1DHJ;Protein Data Bank:1DRA;Protein Data Bank:1DRB;Protein Data Bank:1DRE;Protein Data Bank:1DRH;Protein Data Bank:1DYH;Protein Data Bank:1DYI;Protein Data Bank:1DYJ;Protein Data Bank:1JOL;Protein Data Bank:1JOM;Protein Data Bank:1RA1;Protein Data Bank:1RA2;Protein Data Bank:1RA3;Protein Data Bank:1RA8;Protein Data Bank:1RA9;Protein Data Bank:1RB2;Protein Data Bank:1RB3;Protein Data Bank:1RC4;Protein Data Bank:1RD7;Protein Data Bank:1RE7;Protein Data Bank:1RF7;Protein Data Bank:1RG7;Protein Data Bank:1RH3;Protein Data Bank:1RX1;Protein Data Bank:1RX2;Protein Data Bank:1RX3;Protein Data Bank:1RX4;Protein Data Bank:1RX5;Protein Data Bank:1RX6;Protein Data Bank:1RX7;Protein Data Bank:1RX8;Protein Data Bank:1RX9;Protein Data Bank:1TDR;Protein Data Bank:2ANO;Protein Data Bank:2ANQ;Protein Data Bank:2D0K;Protein Data Bank:2DRC;Protein Data Bank:2INQ;Protein Data Bank:3DAU;Protein Data Bank:3DRC;Protein Data Bank:3K74;Protein Data Bank:3KFY;Protein Data Bank:3OCH;Protein Data Bank:3QL3;Protein Data Bank:3QYL;Protein Data Bank:3QYO;Protein Data Bank:3R33;Protein Data Bank:4DFR;Protein Data Bank:4EIG;Protein Data Bank:4EIZ;Protein Data Bank:4EJ1;Protein Data Bank:4FHB;Protein Data Bank:4GH8;Protein Data Bank:4I13;Protein Data Bank:4I1N;Protein Data Bank:4KJJ;Protein Data Bank:4KJK;Protein Data Bank:4KJL;Protein Data Bank:4NX6;Protein Data Bank:4NX7;Protein Data Bank:4PDJ;Protein Data Bank:4X5F;Protein Data Bank:4X5G;Protein Data Bank:4X5H;Protein Data Bank:4X5I;Protein Data Bank:4X5J;Protein Data Bank:5CC9;Protein Data Bank:5CCC;Protein Data Bank:5DFR;Protein Data Bank:5E8Q;Protein Data Bank:5EAJ;Protein Data Bank:6DFR;Protein Data Bank:7DFR"
"ribosylhypoxanthine monophosphate","SmallMoleculeReference",NA,"CAS:131-99-7;ChEBI:CHEBI:58053;ChemSpider:5482599;EcoCyc:IMP;HMDB:HMDB00175;IAF1260:imp;KEGG LIGAND:C00130;MetaboLights:MTBLC58053;PubChem-compound:7140378;RefMet:IMP",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"5-[[4-methoxy-3-(phenylmethoxy)phenyl]methyl]-2,4-pyrimidinediamine","SmallMoleculeReference",NA,"ChemSpider:9625377;EcoCyc:CPD0-1591;PubChem-compound:11450525",NA
"barium (II) ion","SmallMoleculeReference",NA,"ChEBI:CHEBI:37136;ChemSpider:94609;EcoCyc:BA+2;HMDB:HMDB04142;KEGG LIGAND:C13881;PubChem-compound:104810",NA
"P0AC28","ProteinReference","Fau","Database of Interacting Proteins:DIP-48194N;EcoCyc:EG11158-MONOMER;EcoliWiki:b2912;Mint:MINT-1249443;NCBI Reference Sequences Database:NP_417387;Pride:P0AC28;Protein Model Portal:P0AC28;SWISS-MODEL:P0AC28;UniProt:P0AC28","InterPro:IPR002698;Panther:PTHR23407:SF8;Pfam:PF01812"
"Mg+2","SmallMoleculeReference",NA,"ChEBI:CHEBI:18420;ChemSpider:865;DrugBank:DB01378;EcoCyc:MG+2;HMDB:HMDB00547;IAF1260:mg2;KEGG LIGAND:C00305;PubChem-compound:888",NA
"1-(p-butylphenyl)-2,2-dimethyl-4,6-diamino-1,2-dihydro-s-triazine","SmallMoleculeReference",NA,"ChEBI:CHEBI:101138;ChemSpider:70756;EcoCyc:CPD0-1590;PubChem-compound:78387",NA
